Accession ID,Latitude,Longitude,Altitude,Country
CIho03734,31.05,29.833,0,Egypt
CIho06721,30.074,31.277,0,Egypt
PI057752,31.479,31.524,0,Egypt
PI060679,30.083,31.283,0,Egypt
PI060701,29.567,34.067,0,Egypt
PI564602,31.419,27.302,0,Egypt
CIho13742,15.403,39.003,0,Eritrea
CIho13743,15.403,39.003,0,Eritrea
CIho13745,15.403,39.003,0,Eritrea
CIho14880,15.403,39.003,0,Eritrea
CIho14881,15.403,39.003,0,Eritrea
CIho14883,15.403,39.003,0,Eritrea
PI285118,15.07,39.07,0,Eritrea
PI286388,15.404,39.004,0,Eritrea
PI286389,15.07,39.07,0,Eritrea
PI296453,15.404,39.004,0,Eritrea
PI296459,14.754,39.487,0,Eritrea
PI296460,15.837,38.521,0,Eritrea
PI331217,15.404,39.004,0,Eritrea
PI386406,15.404,38.738,0,Eritrea
CIho01604,8.071,38.071,0,Ethiopia
CIho11709,7.905,36.738,0,Ethiopia
CIho11812,8.072,38.072,0,Ethiopia
CIho11849,8.072,38.072,0,Ethiopia
CIho13141,8.072,38.072,0,Ethiopia
CIho13353,12.672,37.539,0,Ethiopia
CIho13737,9.389,42.189,0,Ethiopia
CIho14124,11.206,39.706,0,Ethiopia
CIho14978,13.722,39.639,0,Ethiopia
PI060694,8.073,38.073,0,Ethiopia
PI151787,8.073,38.073,0,Ethiopia
PI151795,8.073,38.073,0,Ethiopia
PI186424,8.073,38.073,0,Ethiopia
PI193799,9.106,38.773,0,Ethiopia
PI194951,12.673,37.54,0,Ethiopia
PI194952,12.673,37.54,0,Ethiopia
PI273905,7.907,36.74,0,Ethiopia
PI277393,9.14,38.573,0,Ethiopia
PI283441,8.073,38.073,0,Ethiopia
PI285124,9.757,39.607,0,Ethiopia
PI290346,8.074,38.074,0,Ethiopia
PI295442,9.424,38.841,0,Ethiopia
PI295581,7.274,38.674,0,Ethiopia
PI296455,13.574,39.541,0,Ethiopia
PI296457,14.274,39.491,0,Ethiopia
PI296472,8.074,38.074,0,Ethiopia
PI298708,7.808,36.658,0,Ethiopia
PI298738,9.858,38.758,0,Ethiopia
PI316801,8.075,38.075,0,Ethiopia
PI316874,8.075,38.075,0,Ethiopia
PI328976,8.075,38.075,0,Ethiopia
PI329000,8.075,38.075,0,Ethiopia
PI356264,8.075,38.075,0,Ethiopia
PI356333,8.075,38.075,0,Ethiopia
PI356505,8.075,38.075,0,Ethiopia
PI356580,8.075,38.075,0,Ethiopia
PI356666,8.075,38.075,0,Ethiopia
PI382275,14.392,39.309,0,Ethiopia
PI382296,14.059,39.659,0,Ethiopia
PI382343,12.593,39.609,0,Ethiopia
PI382437,8.493,39.459,0,Ethiopia
PI382506,14.343,39.526,0,Ethiopia
PI382798,12.793,37.509,0,Ethiopia
PI382860,12.86,37.726,0,Ethiopia
PI382911,14.343,39.543,0,Ethiopia
PI382982,12.593,39.61,0,Ethiopia
PI383031,8.76,38.31,0,Ethiopia
PI383136,8.36,39.493,0,Ethiopia
PI386462,14.244,38.977,0,Ethiopia
PI386524,6.56,38.594,0,Ethiopia
PI386559,11.927,38.094,0,Ethiopia
PI386601,7.611,39.327,0,Ethiopia
PI386650,13.227,37.977,0,Ethiopia
PI386723,8.077,38.077,0,Ethiopia
PI386759,8.078,38.078,0,Ethiopia
PI386838,11.928,38.094,0,Ethiopia
PI386844,14.178,38.578,0,Ethiopia
PI386940,7.145,38.861,0,Ethiopia
PI387098,8.995,38.728,0,Ethiopia
PI129484,64.079,26.079,0,Finland
PI467625,64.081,26.081,0,Finland
PI094806,42.082,45.082,0,Former Soviet Union
PI283410,60.082,100.082,0,Former Soviet Union
PI467375,48.502,-2.581,0,France
CIho04095,41.805,44.871,0,Georgia
CIho06702,42.088,43.588,0,Georgia
PI027933,41.805,44.872,0,Georgia
PI057095,42.088,43.588,0,Georgia
PI057097,42.088,43.588,0,Georgia
PI057098,42.088,43.588,0,Georgia
PI057099,42.089,43.589,0,Georgia
PI057106,42.089,43.589,0,Georgia
PI078786,42.089,43.589,0,Georgia
