Taxa,Latitude,Longitude,altitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,IC1,IC2,IC3
PI285124,9.757,39.607,2698,155,128,68,1461,248,62,186,160,136,174,136,937,309,5,108,607,35,184,35,-0.877,0.362,1.445
PI290346,8.074,38.074,2733,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI295442,9.424,38.841,2513,151,135,73,1237,244,60,184,144,138,169,138,1040,285,6,100,655,29,195,29,-0.908,0.448,1.421
PI295581,7.274,38.674,2039,181,141,74,817,268,79,189,176,171,192,171,931,153,9,55,403,64,260,64,-1.283,0.827,0.665
PI296455,13.574,39.541,2288,179,151,72,1488,279,70,209,188,159,198,159,597,196,6,128,419,19,114,19,-1.251,0.031,1.097
PI296457,14.274,39.491,2433,159,156,70,1625,264,42,222,169,142,179,136,551,147,6,103,330,25,138,39,-1.05,0.153,0.693
PI296472,8.074,38.074,2733,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI298708,7.808,36.658,1761,193,156,76,962,292,89,203,189,189,207,182,1782,289,28,64,832,107,427,219,-1.224,1.037,1.749
PI298738,9.858,38.758,1769,194,139,74,1544,292,106,186,175,187,214,175,905,260,5,104,574,23,163,574,-1.586,1.052,1.082
PI316801,8.075,38.075,2758,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI316874,8.075,38.075,2758,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI328976,8.075,38.075,2758,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI329000,8.075,38.075,2758,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI356264,8.075,38.075,2758,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI356333,8.075,38.075,2758,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI356505,8.075,38.075,2758,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI356580,8.075,38.075,2758,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI356666,8.075,38.075,2758,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI382275,14.392,39.309,2016,194,158,71,1502,300,79,221,198,177,214,175,646,163,19,90,367,63,136,65,-1.385,0.386,0.716
PI382296,14.059,39.659,2507,157,154,70,1612,261,43,218,169,139,177,135,592,153,10,96,336,37,144,43,-1.023,0.269,0.664
PI382343,12.593,39.609,1687,220,162,68,1785,348,113,235,229,205,244,197,745,177,13,92,371,56,205,82,-1.614,0.203,0.931
PI382437,8.493,39.459,1496,207,144,72,1542,306,107,199,206,186,227,186,798,194,5,92,483,31,185,31,-1.488,0.309,1.073
PI382506,14.343,39.526,2164,165,155,71,1566,268,50,218,175,149,185,144,569,145,11,94,322,40,140,51,-1.123,0.301,0.621
PI382798,12.793,37.509,1898,205,145,74,1433,310,115,195,192,202,226,188,1046,303,2,118,745,12,124,705,-1.727,1.037,1.438
PI382860,12.86,37.726,2724,155,139,72,1179,255,62,193,151,149,172,143,1026,308,3,118,715,14,143,33,-0.958,0.249,1.62
PI382911,14.343,39.543,2629,165,155,71,1566,268,50,218,175,149,185,144,569,145,11,94,322,40,140,51,-1.123,0.301,0.621
PI382982,12.593,39.61,1685,220,162,68,1785,348,113,235,229,205,244,197,745,177,13,92,371,56,205,82,-1.614,0.203,0.931
PI383031,8.76,38.31,2092,177,146,78,1032,272,85,187,169,171,192,166,1097,246,8,89,638,33,230,623,-1.461,1.283,1.113
PI383136,8.36,39.493,1636,211,144,72,1537,308,109,199,213,189,230,189,769,181,4,87,451,31,186,31,-1.531,0.326,0.993
PI386462,14.244,38.977,2145,192,161,70,1571,303,73,230,187,175,214,175,658,202,3,124,467,13,79,20,-1.35,-0.1,1.133
PI386524,6.56,38.594,2527,138,114,74,711,219,65,154,129,140,146,129,1399,169,27,42,483,141,407,483,-0.942,2.04,0.515
PI386559,11.927,38.094,2470,181,161,78,1201,288,84,204,167,183,196,167,1136,352,3,125,821,18,101,821,-1.552,1.13,1.599
PI386601,7.611,39.327,3331,124,124,76,816,205,42,163,118,120,135,116,1071,190,14,60,486,74,278,486,-0.897,1.649,0.55
PI386650,13.227,37.977,2275,193,153,72,1497,304,93,211,185,188,215,178,903,283,2,127,667,8,105,637,-1.589,0.791,1.338
PI386723,8.077,38.077,2754,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI386759,8.078,38.078,2728,150,136,76,829,239,62,177,140,146,161,140,1092,202,15,70,559,52,271,559,-1.164,1.517,0.757
PI386838,11.928,38.094,2484,181,161,78,1201,288,84,204,167,183,196,167,1136,352,3,125,821,18,101,821,-1.552,1.13,1.599
PI386844,14.178,38.578,1953,203,162,70,1667,318,89,229,197,190,226,187,749,245,1,133,564,6,66,17,-1.445,-0.204,1.428
PI386940,7.145,38.861,2666,137,125,74,704,217,50,167,131,130,146,129,1118,161,23,48,458,98,284,146,-0.856,1.347,0.537
PI387098,8.995,38.728,2321,154,137,71,1174,245,53,192,150,139,170,139,1166,270,9,90,698,37,234,37,-0.863,0.508,1.427
PI094806,42.082,45.082,1166,78,106,33,7586,244,-75,319,152,-22,172,-22,950,139,35,41,375,125,330,125,0.74,0.16,0.187
PI467375,48.502,-2.581,59,112,67,36,4356,211,27,184,67,165,168,57,790,95,44,25,268,142,161,253,-0.196,1.64,-0.742
CIho04095,41.805,44.871,620,119,108,32,8103,293,-40,333,199,14,221,14,606,97,23,42,241,77,195,77,0.272,-0.229,-0.056
CIho06702,42.088,43.588,905,67,112,35,7371,232,-87,319,104,-21,159,-30,827,102,45,24,279,147,243,154,0.756,0.472,-0.361
PI027933,41.805,44.872,612,119,108,32,8103,293,-40,333,199,14,221,14,606,97,23,42,241,77,195,77,0.272,-0.229,-0.056
PI057095,42.088,43.588,905,67,112,35,7371,232,-87,319,104,-21,159,-30,827,102,45,24,279,147,243,154,0.756,0.472,-0.361
PI057097,42.088,43.588,905,67,112,35,7371,232,-87,319,104,-21,159,-30,827,102,45,24,279,147,243,154,0.756,0.472,-0.361
PI057098,42.088,43.588,905,67,112,35,7371,232,-87,319,104,-21,159,-30,827,102,45,24,279,147,243,154,0.756,0.472,-0.361
PI057099,42.089,43.589,929,67,112,35,7371,232,-87,319,104,-21,159,-30,827,102,45,24,279,147,243,154,0.756,0.472,-0.361
PI057106,42.089,43.589,929,67,112,35,7371,232,-87,319,104,-21,159,-30,827,102,45,24,279,147,243,154,0.756,0.472,-0.361
PI078786,42.089,43.589,929,67,112,35,7371,232,-87,319,104,-21,159,-30,827,102,45,24,279,147,243,154,0.756,0.472,-0.361
PI094790,42.089,43.589,929,67,112,35,7371,232,-87,319,104,-21,159,-30,827,102,45,24,279,147,243,154,0.756,0.472,-0.361
PI094856,42.089,43.589,929,67,112,35,7371,232,-87,319,104,-21,159,-30,827,102,45,24,279,147,243,154,0.756,0.472,-0.361
PI573659,43.139,42.673,3953,-28,112,38,6182,129,-162,291,28,-107,49,-107,913,146,29,52,406,101,306,101,1.566,0.354,0.045
PI573660,43.123,42.906,3386,-32,112,37,6289,127,-168,295,25,-113,46,-113,919,146,28,54,411,98,310,98,1.63,0.302,0.062
PI573661,43.123,42.923,3731,-32,112,37,6289,127,-168,295,25,-113,46,-113,919,146,28,54,411,98,310,98,1.63,0.302,0.062
PI573662,43.14,42.89,3409,-33,112,37,6286,126,-169,295,24,-114,45,-114,918,146,28,53,411,98,309,98,1.64,0.309,0.053
PI573663,43.09,42.706,2715,-15,111,38,6139,141,-149,290,41,-91,61,-94,910,143,30,51,397,104,307,104,1.435,0.374,0.044
PI573668,43.14,42.823,3418,-24,112,38,6217,133,-159,292,33,-104,53,-104,912,145,28,52,405,99,309,99,1.533,0.329,0.061
PI573675,43.09,42.707,2698,-15,111,38,6139,141,-149,290,41,-91,61,-94,910,143,30,51,397,104,307,104,1.435,0.374,0.044
PI573682,42.723,45.19,2668,13,106,33,7344,177,-137,314,85,-83,104,-83,956,145,26,53,407,88,388,88,1.367,0.028,0.266
PI573687,42.49,45.207,2256,11,106,34,7196,173,-137,310,81,-83,100,-83,952,146,26,53,404,87,382,87,1.361,0.062,0.255
PI573702,42.024,44.824,941,85,108,33,7645,251,-69,320,160,-15,181,-15,894,130,35,38,345,126,295,126,0.648,0.157,0.093
PI573703,41.807,43.074,1819,44,116,35,7216,212,-111,323,112,-45,132,-52,798,108,44,27,276,138,251,148,0.963,0.392,-0.295
PI591876,42.741,45.241,2178,10,106,33,7302,175,-139,314,82,-85,101,-85,948,145,25,54,406,84,388,84,1.387,0.01,0.269
PI005873,50.042,10.175,223,89,91,32,6740,240,-36,276,174,13,174,0,610,72,37,18,192,121,192,132,0.375,0.592,-0.504
PI328858,51.594,10.594,300,74,78,31,6247,208,-38,246,153,1,153,-6,785,88,54,15,241,170,241,180,0.536,1.099,-0.518
PI370833,51.594,10.594,300,74,78,31,6247,208,-38,246,153,1,153,-6,785,88,54,15,241,170,241,180,0.536,1.099,-0.518
PI264897,35.517,23.925,16,189,61,30,5186,294,94,200,127,256,256,126,607,121,1,85,323,6,6,282,-0.974,0.639,-0.172
PI264903,36.418,25.469,28,183,56,29,4910,281,93,188,124,246,246,122,478,96,0,84,253,4,4,224,-0.934,0.643,-0.329
PI264904,36.312,27.929,73,185,71,31,5659,304,82,222,133,258,258,118,866,215,1,100,540,4,4,404,-0.88,0.534,0.396
PI264906,36.279,27.929,575,185,71,31,5659,304,82,222,133,258,258,118,866,215,1,100,540,4,4,404,-0.88,0.534,0.396
PI264909,40.946,25.846,111,132,97,33,6850,294,2,292,63,218,221,47,607,88,16,41,236,73,78,221,-0.265,0.475,-0.683
PI264911,40.628,23.767,7,135,96,32,6969,294,3,291,64,221,225,47,517,65,20,31,187,74,87,166,-0.263,0.473,-0.853
PI264912,40.363,23.529,400,126,96,32,6922,286,-6,292,56,212,216,39,528,66,21,31,187,76,87,170,-0.178,0.498,-0.871
PI328388,35.122,25.858,120,184,57,30,4950,282,93,189,126,248,248,123,549,117,1,86,293,5,5,255,-0.941,0.67,-0.214
PI328409,36.796,22.479,189,149,87,36,5526,282,43,239,98,220,220,83,755,142,7,75,384,25,25,356,-0.613,0.644,-0.128
PI328417,38.03,23.63,135,181,88,32,6537,333,62,271,152,268,268,103,412,70,5,63,184,20,20,169,-0.856,0.155,-0.472
PI328484,35.252,24.991,371,157,64,31,5248,266,63,203,95,226,226,93,907,188,2,83,479,17,17,431,-0.651,0.885,0.075
PI328485,35.113,26.196,542,162,60,30,5107,266,69,197,102,228,228,100,686,151,1,87,379,8,8,325,-0.706,0.734,-0.09
PI328486,35.518,23.874,15,188,61,30,5195,294,94,200,126,256,256,125,607,121,1,85,323,6,6,282,-0.97,0.639,-0.175
PI328498,37.697,22.147,1093,114,107,38,6055,272,-5,277,55,193,193,40,895,152,15,61,411,61,61,392,-0.219,0.676,-0.217
PI328520,39.097,22.097,584,141,113,36,6912,316,3,313,69,227,231,54,759,115,16,45,294,75,80,293,-0.366,0.411,-0.474
PI328577,36.847,22.664,9,175,82,35,5434,304,71,233,126,246,246,110,633,123,4,78,329,14,14,240,-0.856,0.447,-0.131
PI328578,35.257,26.251,19,190,57,30,4930,288,98,190,132,253,253,129,555,121,0,86,300,3,3,266,-0.999,0.666,-0.185
PI328632,35.464,23.73,427,181,63,31,5228,289,86,203,118,248,248,117,633,127,1,85,337,6,6,295,-0.902,0.648,-0.156
PI328637,37.347,22.647,761,138,104,38,5973,293,20,273,81,216,216,65,745,134,10,66,358,39,39,337,-0.482,0.505,-0.233
PI328639,39.097,22.097,584,141,113,36,6912,316,3,313,69,227,231,54,759,115,16,45,294,75,80,293,-0.366,0.411,-0.474
PI328787,35.308,25.566,46,186,56,29,4980,285,95,190,127,251,251,124,530,109,1,82,277,5,5,242,-0.952,0.668,-0.277
PI329032,37.014,22.531,267,161,93,37,5563,299,51,248,110,234,234,95,699,133,6,74,355,22,22,325,-0.742,0.524,-0.141
PI329042,37.248,22.064,630,139,102,39,5664,285,25,260,85,212,212,70,842,154,10,69,414,37,37,385,-0.515,0.632,-0.094
PI329043,39.098,22.098,576,141,113,36,6912,316,3,313,69,227,231,54,759,115,16,45,294,75,80,293,-0.366,0.411,-0.474
PI329114,38.055,23.09,84,172,98,35,6379,328,50,278,110,256,256,95,567,97,7,62,254,31,31,239,-0.77,0.293,-0.404
PI636056,48.404,21.637,360,92,98,30,7896,258,-63,321,190,1,190,-14,647,88,33,32,239,108,239,126,0.546,0.12,-0.214
PI636060,48.054,20.921,105,101,103,31,8061,272,-58,330,199,10,199,-8,554,80,27,34,205,83,205,95,0.438,-0.088,-0.231
CIho03826,34.304,74.454,1587,142,115,37,7508,298,-10,308,94,98,233,40,823,146,29,57,391,117,127,208,-0.051,0.256,-0.058
CIho03853,34.338,74.888,2666,9,78,23,9230,178,-159,337,-6,-25,119,-115,665,93,19,42,250,75,178,139,1.504,0.081,-0.686
CIho03865,34.338,74.888,2666,9,78,23,9230,178,-159,337,-6,-25,119,-115,665,93,19,42,250,75,178,139,1.504,0.081,-0.686
CIho03886,34.321,75.105,4190,-13,78,22,9489,161,-186,347,-30,-47,100,-140,490,63,14,40,179,57,129,105,1.707,-0.048,-0.951
PI030842,27.355,80.855,134,251,126,41,5726,396,89,307,289,238,312,168,1078,330,1,126,796,29,135,45,-1.118,-0.813,1.941
PI039368,26.089,85.789,51,253,111,41,4974,368,99,269,290,188,301,177,1138,308,1,116,796,25,511,30,-0.996,-0.588,2.204
PI164385,29.906,75.939,229,247,149,42,6895,410,61,349,302,160,326,150,482,157,1,128,383,21,187,34,-1.083,-1.239,1.158
PI164744,15.456,75.272,597,255,112,56,2007,363,163,200,247,254,286,233,665,130,0,79,314,9,140,42,-1.902,0.336,0.585
PI165883,30.356,79.439,2146,154,101,40,4949,275,28,247,196,121,209,84,1363,327,15,83,769,111,512,199,-0.148,0.322,1.66
PI166058,27.356,80.856,133,251,126,41,5726,396,89,307,289,238,312,168,1078,330,1,126,796,29,135,45,-1.118,-0.813,1.941
PI166060,27.356,80.856,133,251,126,41,5726,396,89,307,289,238,312,168,1078,330,1,126,796,29,135,45,-1.118,-0.813,1.941
PI166078,30.356,79.439,2146,154,101,40,4949,275,28,247,196,121,209,84,1363,327,15,83,769,111,512,199,-0.148,0.322,1.66
PI176004,30.139,80.289,3488,117,100,41,4967,235,-5,240,164,83,173,48,1429,328,15,84,826,103,787,194,0.288,0.317,1.925
PI176010,30.14,80.29,3496,117,100,41,4967,235,-5,240,164,83,173,48,1429,328,15,84,826,103,787,194,0.288,0.317,1.925
PI176021,29.94,79.606,1260,160,103,41,4754,282,33,249,197,100,211,91,1498,396,9,97,924,105,624,158,-0.084,0.099,2.26
PI176035,29.94,79.606,1260,160,103,41,4754,282,33,249,197,100,211,91,1498,396,9,97,924,105,624,158,-0.084,0.099,2.26
PI176042,29.94,79.607,1238,160,103,41,4754,282,33,249,197,100,211,91,1498,396,9,97,924,105,624,158,-0.084,0.099,2.26
PI176061,29.94,79.607,1238,160,103,41,4754,282,33,249,197,100,211,91,1498,396,9,97,924,105,624,158,-0.084,0.099,2.26
PI176112,30.49,78.59,1907,146,88,37,4882,259,22,237,185,116,201,76,1672,419,15,97,1061,117,640,191,0.114,0.303,2.378
PI176113,30.607,78.774,2865,101,87,37,5100,211,-23,234,149,71,158,29,1416,285,22,68,729,136,653,266,0.426,0.718,1.36
PI176118,30.607,78.774,2865,101,87,37,5100,211,-23,234,149,71,158,29,1416,285,22,68,729,136,653,266,0.426,0.718,1.36
PI176129,30.607,78.774,2865,101,87,37,5100,211,-23,234,149,71,158,29,1416,285,22,68,729,136,653,266,0.426,0.718,1.36
PI176144,30.607,78.774,2865,101,87,37,5100,211,-23,234,149,71,158,29,1416,285,22,68,729,136,653,266,0.426,0.718,1.36
PI176162,30.607,78.774,2865,101,87,37,5100,211,-23,234,149,71,158,29,1416,285,22,68,729,136,653,266,0.426,0.718,1.36
PI181102,32.691,77.107,5333,-32,100,30,7724,126,-197,323,61,-66,64,-134,372,51,10,39,141,46,117,84,1.597,-0.047,-0.748
PI181108,24.941,72.857,268,263,131,43,4863,404,104,300,283,255,321,194,567,207,1,152,500,3,51,5,-1.483,-0.95,1.347
PI181113,24.024,72.491,187,265,141,47,4403,405,106,299,281,260,319,203,650,271,0,155,569,2,56,4,-1.537,-0.976,1.647
PI429883,34.341,76.191,4573,-25,94,25,9777,163,-212,375,93,-63,94,-155,167,23,4,47,57,20,39,41,1.691,-0.625,-0.882
PI429947,32.141,76.941,4028,34,90,32,6622,161,-114,275,107,5,113,-56,805,109,18,41,289,88,239,186,0.951,0.475,-0.222
PI429995,29.858,80.391,2130,152,102,42,4827,271,31,240,193,117,204,84,1596,394,12,96,987,100,655,154,-0.032,0.16,2.338
CIho06950,32.109,53.109,1726,159,158,38,8985,376,-39,415,62,261,274,41,89,17,0,80,46,0,1,42,-0.435,-1.093,-0.731
CIho06952,32.776,51.742,1556,158,152,36,8899,372,-39,411,58,262,270,40,119,19,0,80,55,0,1,54,-0.403,-1.028,-0.744
PI047541,32.109,53.109,1726,159,158,38,8985,376,-39,415,62,261,274,41,89,17,0,80,46,0,1,42,-0.435,-1.093,-0.731
PI048641,32.109,53.109,1726,159,158,38,8985,376,-39,415,62,261,274,41,89,17,0,80,46,0,1,42,-0.435,-1.093,-0.731
PI138698,27.426,56.393,108,264,102,38,5952,382,120,262,182,334,334,182,133,43,0,113,96,1,1,96,-1.655,-0.289,-0.222
PI138699,30.393,57.188,1954,150,169,43,7853,349,-40,389,70,198,250,48,157,33,0,90,93,2,4,79,-0.431,-0.956,-0.488
PI138706,30.493,57.659,458,235,148,40,7756,414,53,361,153,333,333,133,70,16,0,100,44,0,0,40,-1.295,-0.956,-0.41
PI138709,29.21,58.46,958,220,137,38,7717,392,39,353,177,316,316,117,70,17,0,94,43,2,2,31,-1.124,-0.887,-0.411
PI138710,32.11,53.11,1729,159,158,38,8985,376,-39,415,62,261,274,41,89,17,0,80,46,0,1,42,-0.435,-1.093,-0.731
PI138711,32.11,53.11,1729,159,158,38,8985,376,-39,415,62,261,274,41,89,17,0,80,46,0,1,42,-0.435,-1.093,-0.731
PI138722,31.143,52.943,2073,134,166,40,8679,353,-62,415,39,245,245,20,156,35,1,83,86,3,3,82,-0.246,-1.016,-0.67
PI138726,29.11,53.11,1886,174,157,42,7832,370,1,369,73,274,274,73,262,72,0,107,168,2,2,168,-0.743,-0.8,-0.284
PI141423,33.577,49.177,1700,110,151,37,8623,329,-73,402,7,219,219,-2,324,61,1,79,155,3,5,150,0.008,-0.754,-0.66
PI141441,36.327,57.81,1580,117,150,37,8923,325,-76,401,112,222,230,0,219,46,1,74,114,5,11,68,-0.034,-0.976,-0.51
PI225136,32.11,53.11,1729,159,158,38,8985,376,-39,415,62,261,274,41,89,17,0,80,46,0,1,42,-0.435,-1.093,-0.731
PI226639,29.744,51.844,2293,153,155,40,8010,354,-26,380,55,254,256,55,315,73,1,97,187,3,3,187,-0.501,-0.738,-0.374
PI227449,29.11,53.11,1886,174,157,42,7832,370,1,369,73,274,274,73,262,72,0,107,168,2,2,168,-0.743,-0.8,-0.284
PI243581,38.344,48.411,1310,96,112,31,7753,303,-55,358,70,192,192,-3,356,43,12,31,115,47,47,103,0.141,-0.091,-0.96
PI243587,35.844,50.494,1150,149,136,35,8772,350,-35,385,83,259,259,34,296,50,2,66,133,12,12,108,-0.324,-0.696,-0.636
PI243588,30.394,57.19,1960,150,169,43,7853,349,-40,389,70,198,250,48,157,33,0,90,93,2,4,79,-0.431,-0.956,-0.488
PI243607,36.328,57.811,1632,117,150,37,8923,325,-76,401,112,222,230,0,219,46,1,74,114,5,11,68,-0.034,-0.976,-0.51
PI243609,37.578,57.428,917,138,135,34,9329,348,-48,396,134,247,258,17,252,46,3,67,124,10,14,80,-0.198,-0.888,-0.536
PI244807,36.945,54.595,11,182,106,35,7223,338,40,298,96,273,273,93,438,76,11,50,166,38,38,139,-0.752,0.099,-0.635
PI250861,36.411,59.711,1024,129,142,36,8408,327,-60,387,73,224,235,19,257,56,1,78,135,5,7,87,-0.135,-0.806,-0.543
PI268241,29.728,52.345,2054,134,165,42,7963,343,-46,389,44,237,237,33,315,77,1,95,184,4,4,182,-0.342,-0.787,-0.378
PI268250,32.795,47.378,1158,175,161,39,8626,398,-5,403,77,285,285,64,362,69,0,84,176,0,0,175,-0.679,-0.878,-0.405
PI268255,30.412,51.595,2085,125,162,40,8334,339,-65,404,27,231,231,19,294,63,1,91,164,5,5,162,-0.182,-0.846,-0.508
PI268256,30.412,51.595,2085,125,162,40,8334,339,-65,404,27,231,231,19,294,63,1,91,164,5,5,162,-0.182,-0.846,-0.508
PI289811,32.295,48.345,92,245,157,39,8766,460,60,400,148,355,355,131,334,78,0,97,195,0,0,183,-1.33,-1.013,-0.14
PI429360,36.312,48.312,1700,109,146,37,8571,322,-70,392,-4,214,217,-4,391,66,2,71,178,11,13,178,0.029,-0.576,-0.702
PI494169,38.192,46.404,1889,92,117,32,8740,287,-76,363,77,200,200,-22,352,59,9,55,164,30,43,74,0.268,-0.446,-0.683
PI494175,32.562,48.462,392,225,159,39,8769,445,40,405,130,336,336,111,396,88,0,91,214,0,0,213,-1.14,-0.944,-0.169
CIho01458,33.413,44.713,37,228,154,39,8640,436,45,391,129,335,335,115,176,33,0,91,95,0,0,91,-1.176,-1.019,-0.429
CIho01461,33.413,44.713,37,228,154,39,8640,436,45,391,129,335,335,115,176,33,0,91,95,0,0,91,-1.176,-1.019,-0.429
CIho01468,33.413,44.713,37,228,154,39,8640,436,45,391,129,335,335,115,176,33,0,91,95,0,0,91,-1.176,-1.019,-0.429
CIho02337,33.113,44.113,39,226,154,39,8685,433,40,393,127,333,333,112,134,26,0,85,72,0,0,66,-1.143,-1.029,-0.509
CIho02339,33.113,44.113,39,226,154,39,8685,433,40,393,127,333,333,112,134,26,0,85,72,0,0,66,-1.143,-1.029,-0.509
PI057015,33.113,44.113,39,226,154,39,8685,433,40,393,127,333,333,112,134,26,0,85,72,0,0,66,-1.143,-1.029,-0.509
PI076280,33.397,44.63,37,228,154,39,8671,436,45,391,128,335,335,114,170,32,0,87,91,0,0,87,-1.172,-1.004,-0.462
PI076281,33.397,44.63,37,228,154,39,8671,436,45,391,128,335,335,114,170,32,0,87,91,0,0,87,-1.172,-1.004,-0.462
PI076284,33.397,44.63,37,228,154,39,8671,436,45,391,128,335,335,114,170,32,0,87,91,0,0,87,-1.172,-1.004,-0.462
PI076285,33.397,44.631,37,228,154,39,8671,436,45,391,128,335,335,114,170,32,0,87,91,0,0,87,-1.172,-1.004,-0.462
PI076286,33.397,44.631,37,228,154,39,8671,436,45,391,128,335,335,114,170,32,0,87,91,0,0,87,-1.172,-1.004,-0.462
PI076290,33.397,44.631,37,228,154,39,8671,436,45,391,128,335,335,114,170,32,0,87,91,0,0,87,-1.172,-1.004,-0.462
PI076291,33.397,44.631,37,228,154,39,8671,436,45,391,128,335,335,114,170,32,0,87,91,0,0,87,-1.172,-1.004,-0.462
PI076294,33.398,44.631,37,228,154,39,8671,436,45,391,128,335,335,114,170,32,0,87,91,0,0,87,-1.172,-1.004,-0.462
PI076296,33.398,44.631,37,228,154,39,8671,436,45,391,128,335,335,114,170,32,0,87,91,0,0,87,-1.172,-1.004,-0.462
PI178636,33.415,44.715,38,228,154,39,8640,436,45,391,129,335,335,115,176,33,0,91,95,0,0,91,-1.176,-1.019,-0.429
PI178637,33.415,44.715,38,228,154,39,8640,436,45,391,129,335,335,115,176,33,0,91,95,0,0,91,-1.176,-1.019,-0.429
PI253938,35.665,45.548,907,171,125,31,9603,382,-11,393,59,292,292,46,800,159,0,91,444,0,0,416,-0.443,-0.496,-0.027
PI584785,33.115,44.115,38,226,154,39,8685,433,40,393,127,333,333,112,134,26,0,85,72,0,0,66,-1.143,-1.029,-0.509
PI584786,33.115,44.115,38,226,154,39,8685,433,40,393,127,333,333,112,134,26,0,85,72,0,0,66,-1.143,-1.029,-0.509
PI584788,33.115,44.115,38,226,154,39,8685,433,40,393,127,333,333,112,134,26,0,85,72,0,0,66,-1.143,-1.029,-0.509
PI282616,31.617,34.867,233,199,115,47,4855,321,78,243,135,254,256,135,411,105,0,109,265,0,0,265,-1.233,0.154,0.027
PI572573,32.118,35.185,400,190,110,45,5237,315,72,243,122,249,252,122,547,143,0,111,366,0,0,320,-1.094,0.208,0.187
PI264864,44.586,10.036,807,107,76,27,6808,256,-18,274,115,194,194,19,871,109,47,24,292,166,166,200,0.155,0.979,-0.606
PI264888,37.436,15.07,7,177,101,39,5432,317,63,254,157,247,250,113,546,114,5,70,258,25,55,205,-0.914,0.282,-0.126
PI264890,37.753,14.887,1224,126,67,28,6001,261,26,235,101,206,206,57,586,89,12,52,237,45,45,207,-0.297,0.671,-0.59
PI264891,41.253,13.987,440,131,87,34,5852,273,20,253,103,207,207,60,847,123,28,39,324,108,108,266,-0.303,0.917,-0.419
PI264894,38.569,16.564,19,177,77,33,5360,305,77,228,157,246,249,114,835,133,12,62,370,44,81,336,-0.853,0.773,-0.076
PI264926,41.254,13.987,437,131,87,34,5852,273,20,253,103,207,207,60,847,123,28,39,324,108,108,266,-0.303,0.917,-0.419
PI328924,38.22,15.77,660,154,69,31,5445,278,58,220,106,225,227,90,832,119,17,53,338,60,100,287,-0.574,0.927,-0.322
PI328945,38.221,15.771,686,142,68,30,5520,267,46,221,93,214,215,77,831,119,18,52,337,63,100,283,-0.438,0.945,-0.37
PI331878,38.221,15.771,686,142,68,30,5520,267,46,221,93,214,215,77,831,119,18,52,337,63,100,283,-0.438,0.945,-0.37
PI331912,42.954,12.954,1000,96,69,27,6347,237,-12,249,107,23,179,18,885,104,53,21,287,173,202,182,0.389,1.132,-0.547
CIho11757,35.807,139.875,6,152,84,27,7616,306,-2,308,223,55,250,55,1399,185,45,40,501,153,466,153,0.215,0.345,0.703
PI080937,35.739,138.731,791,105,111,31,8426,278,-78,356,212,-3,212,-3,1404,191,39,47,536,137,536,137,0.755,-0.131,0.934
PI080938,36.673,138.239,350,119,98,27,9032,300,-56,356,233,47,233,3,1198,154,70,29,402,216,402,244,0.561,0.437,0.232
PI182602,37.968,139.17,3,133,74,23,8486,304,-8,312,55,106,244,29,1897,243,102,27,647,325,494,590,0.47,1.83,0.133
PI190271,34.785,134.058,58,147,96,29,8220,315,-9,324,218,44,253,44,1349,203,46,48,540,155,487,155,0.285,0.144,0.85
PI190771,33.123,131.123,686,127,87,28,7859,279,-27,306,224,47,227,25,2350,436,70,61,1096,227,964,244,0.868,0.511,2.551
PI223143,31.125,36.125,888,162,129,44,6187,310,17,293,77,234,234,77,184,43,0,103,117,0,0,117,-0.734,-0.304,-0.434
PI233834,31.126,36.126,887,162,129,44,6187,310,17,293,77,234,234,77,184,43,0,103,117,0,0,117,-0.734,-0.304,-0.434
PI420922,32.21,35.843,350,175,113,41,6094,314,43,271,94,246,246,94,421,99,0,107,273,0,0,273,-0.857,0.005,-0.132
PI420923,30.777,35.76,1158,152,116,42,5802,294,23,271,74,220,220,74,315,68,0,105,195,0,0,195,-0.67,-0.045,-0.321
