Taxa,Latitude,Longitude,altitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,IC1,IC2,IC3
PI057047,33.107,6.073,72,215,145,37,8101,416,34,382,121,319,319,111,63,9,1,48,27,4,4,22,-1.057,-0.747,-0.852
PI057048,33.107,6.073,72,215,145,37,8101,416,34,382,121,319,319,111,63,9,1,48,27,4,4,22,-1.057,-0.747,-0.852
PI057057,34.857,5.74,115,213,121,34,7883,401,54,347,218,318,318,114,149,20,2,41,56,14,14,38,-1.089,-0.533,-0.652
PI057065,36.757,3.057,30,169,80,35,4993,293,70,223,120,231,237,109,757,132,3,65,358,25,46,317,-0.823,0.723,-0.147
PI064004,28.007,3.007,631,226,158,39,8363,427,31,396,128,332,332,117,33,6,0,61,15,2,2,14,-1.146,-0.97,-0.749
PI434871,28.007,3.007,631,226,158,39,8363,427,31,396,128,332,332,117,33,6,0,61,15,2,2,14,-1.146,-0.97,-0.749
CIho14302,40.194,44.51,1060,104,122,31,9160,304,-81,385,149,213,216,-20,348,62,18,42,144,59,81,60,0.243,-0.52,-0.608
CIho14391,40.011,45.011,2050,38,113,33,7859,217,-122,339,67,-64,136,-64,479,82,22,43,199,71,95,71,1.006,-0.113,-0.537
CIho14394,40.011,45.011,2050,38,113,33,7859,217,-122,339,67,-64,136,-64,479,82,22,43,199,71,95,71,1.006,-0.113,-0.537
CIho14395,40.011,45.011,2050,38,113,33,7859,217,-122,339,67,-64,136,-64,479,82,22,43,199,71,95,71,1.006,-0.113,-0.537
PI061509,40.194,44.511,1067,104,122,31,9160,304,-81,385,149,213,216,-20,348,62,18,42,144,59,81,60,0.243,-0.52,-0.608
PI061510,40.194,44.511,1067,104,122,31,9160,304,-81,385,149,213,216,-20,348,62,18,42,144,59,81,60,0.243,-0.52,-0.608
PI073291,40.011,45.011,2050,38,113,33,7859,217,-122,339,67,-64,136,-64,479,82,22,43,199,71,95,71,1.006,-0.113,-0.537
PI073292,40.011,45.011,2050,38,113,33,7859,217,-122,339,67,-64,136,-64,479,82,22,43,199,71,95,71,1.006,-0.113,-0.537
PI073299,40.011,45.011,2050,38,113,33,7859,217,-122,339,67,-64,136,-64,479,82,22,43,199,71,95,71,1.006,-0.113,-0.537
PI073301,40.011,45.011,2050,38,113,33,7859,217,-122,339,67,-64,136,-64,479,82,22,43,199,71,95,71,1.006,-0.113,-0.537
PI094797,40.062,44.512,935,125,127,31,9787,339,-70,409,123,241,245,-8,287,48,10,42,112,35,48,64,0.063,-0.734,-0.741
PI283397,40.012,45.012,2111,38,113,33,7859,217,-122,339,67,-64,136,-64,479,82,22,43,199,71,95,71,1.006,-0.113,-0.537
PI327837,39.795,45.295,1432,81,114,31,8439,269,-88,357,117,-32,184,-32,406,70,18,45,172,60,105,60,0.661,-0.378,-0.455
PI327838,40.012,45.012,2111,38,113,33,7859,217,-122,339,67,-64,136,-64,479,82,22,43,199,71,95,71,1.006,-0.113,-0.537
PI327840,40.879,45.145,675,93,112,34,7570,265,-59,324,130,-6,189,-6,546,93,17,50,237,62,182,62,0.45,-0.21,-0.165
PI327842,40.879,45.145,675,93,112,34,7570,265,-59,324,130,-6,189,-6,546,93,17,50,237,62,182,62,0.45,-0.21,-0.165
PI327866,40.012,45.012,2111,38,113,33,7859,217,-122,339,67,-64,136,-64,479,82,22,43,199,71,95,71,1.006,-0.113,-0.537
PI372077,40.962,44.662,1243,93,115,34,7788,267,-67,334,132,-10,190,-10,541,93,19,49,234,65,179,65,0.49,-0.254,-0.175
PI573610,40.013,45.013,2070,38,113,33,7859,217,-122,339,67,-64,136,-64,479,82,22,43,199,71,95,71,1.006,-0.113,-0.537
