,Northern Levant,Northern Mesopotamia,Syrian Desert,Southern Levant,Central Asia
PI178283,0.09,0.14,0,0.82,0.05
PI178285,0.09,0.05,0,0.86,0.05
PI178332,0.23,0.05,0.14,0.68,0.05
PI178609,0.14,0.14,0.05,0.82,0
PI182661,0.41,0.09,0,0.59,0
PI182679,0.23,0.18,0.09,0.59,0
PI182684,0.18,0.05,0,0.77,0
PI183631,0.18,0.09,0.09,0.73,0
PI183636,0.14,0.18,0.23,0.5,0.05
PI190771,0.09,0.09,0,0.77,0.09
PI190790,0.14,0.05,0.05,0.82,0.05
PI190824,0.14,0.09,0,0.82,0.05
PI223143,0.14,0.14,0.18,0.5,0.05
PI233834,0.18,0.14,0,0.64,0.09
PI235186,0.09,0.23,0.18,0.59,0
PI247928,0.18,0.05,0,0.82,0.05
PI264210,0.18,0.09,0.05,0.59,0.14
PI264888,0.14,0.05,0.14,0.73,0
PI264890,0.09,0.14,0.09,0.59,0.09
PI264891,0.14,0.14,0,0.77,0
PI264894,0.18,0.05,0.09,0.73,0
PI264897,0.14,0.09,0.09,0.73,0
PI264903,0.14,0.05,0.09,0.73,0.09
PI264904,0.23,0.18,0.05,0.59,0
PI264906,0.27,0.14,0.05,0.64,0
PI264909,0.14,0.14,0.05,0.73,0.05
PI264911,0.18,0.14,0.09,0.68,0.05
PI264912,0.18,0.05,0.05,0.77,0.05
PI264916,0.23,0.23,0.05,0.55,0.05
PI264921,0.14,0.14,0.05,0.68,0.09
PI264922,0.09,0.05,0.09,0.82,0.05
PI264923,0.09,0.05,0,0.82,0.18
PI269899,0.18,0.14,0.05,0.68,0
PI282616,0.14,0.18,0,0.68,0.14
PI283410,0.18,0.05,0,0.73,0.14
PI283433,0.23,0.09,0.05,0.59,0.05
PI290346,0.18,0.18,0.09,0.59,0.05
PI296459,0.14,0.09,0.05,0.73,0
PI327606,0.18,0.14,0,0.68,0.05
PI327680,0.14,0.09,0.09,0.68,0.09
PI327719,0.14,0.09,0.09,0.82,0
PI327724,0.09,0.18,0.09,0.68,0.09
PI327763,0.23,0.09,0.05,0.73,0
PI327827,0.27,0.18,0.05,0.59,0
PI327836,0.23,0.14,0.14,0.59,0
PI327838,0.18,0.14,0.09,0.64,0.05
PI327861,0.32,0.09,0.05,0.64,0.05
PI327907,0.09,0,0,0.91,0.05
PI328152,0.23,0.14,0,0.73,0
PI328154,0.18,0.09,0.05,0.82,0
PI328155,0.14,0.05,0.09,0.82,0.05
PI328162,0.14,0.14,0.05,0.77,0
PI328200,0.14,0.14,0,0.82,0
PI328207,0.18,0.05,0.09,0.77,0
PI328208,0.09,0.05,0.09,0.86,0
PI328244,0.18,0.05,0.09,0.77,0
PI328253,0.05,0.09,0,0.86,0.05
PI328279,0.14,0.05,0.09,0.82,0
PI328299,0.09,0.23,0.05,0.64,0.05
PI328327,0.14,0.05,0,0.86,0.09
PI328388,0.09,0.09,0,0.77,0.05
PI328409,0.23,0.05,0,0.64,0.14
PI328417,0.27,0.05,0.14,0.55,0.05
PI328484,0.18,0.05,0,0.73,0.05
PI328485,0.23,0.05,0.05,0.73,0
PI328486,0.36,0.14,0,0.59,0
PI328498,0.32,0.05,0.05,0.64,0
PI328520,0.18,0.14,0.05,0.73,0
PI328577,0.14,0.09,0.09,0.64,0.09
PI328578,0.14,0.18,0.09,0.59,0.05
PI328632,0.18,0.14,0.05,0.68,0
PI328639,0.14,0.14,0,0.73,0.09
PI328729,0.09,0.14,0,0.82,0
PI328787,0.23,0,0.05,0.73,0.05
PI328924,0.14,0.14,0.09,0.68,0
PI328945,0.05,0.14,0.05,0.77,0.05
PI329042,0.23,0.09,0.09,0.68,0
PI329043,0.23,0.23,0,0.59,0.05
PI329114,0.18,0.09,0,0.73,0.05
PI331803,0.14,0.09,0,0.77,0.14
PI331912,0.18,0.05,0.14,0.68,0
PI342031,0.18,0.05,0.05,0.77,0.05
PI344865,0.14,0.14,0.14,0.73,0
PI344867,0,0.09,0.14,0.86,0
PI344871,0.14,0.09,0.09,0.73,0.05
PI344874,0.14,0.14,0.09,0.68,0.05
PI344889,0.18,0.18,0.05,0.64,0.05
PI350717,0.09,0.05,0,0.82,0.05
PI356672,0.18,0.05,0,0.73,0.05
PI356696,0.14,0.05,0,0.77,0.05
PI356718,0.18,0.09,0.05,0.73,0
PI356719,0.32,0.18,0.05,0.45,0.09
PI356732,0.23,0.18,0.05,0.55,0.09
PI356734,0.18,0.27,0.05,0.55,0
PI356737,0.18,0.18,0.05,0.59,0
PI356741,0.18,0.09,0.05,0.73,0
PI356742,0.23,0,0.09,0.73,0
PI356755,0.18,0.18,0.05,0.55,0.05
PI356759,0.18,0.09,0.05,0.73,0.05
PI356763,0.27,0.14,0.05,0.55,0
PI356771,0.09,0.09,0.09,0.73,0.05
PI356775,0.27,0.14,0.05,0.59,0
PI361691,0.14,0.05,0.05,0.73,0.09
PI362381,0.14,0.09,0.14,0.68,0.05
PI370970,0.05,0.14,0.05,0.73,0.09
PI371335,0.14,0.05,0.05,0.77,0.09
PI374437,0.14,0.09,0.05,0.77,0.05
PI378216,0.14,0.18,0.05,0.73,0.05
PI378224,0.23,0,0.14,0.77,0
PI390302,0.18,0.05,0.05,0.82,0.05
PI390304,0.18,0.14,0.09,0.68,0.05
PI390323,0.23,0.05,0,0.77,0
PI405744,0.23,0.05,0.09,0.73,0.05
PI405756,0.27,0.05,0.05,0.68,0.09
PI405762,0.09,0.14,0.09,0.73,0
PI405780,0.14,0.05,0.05,0.91,0
PI405792,0.14,0.09,0.14,0.73,0
PI405802,0.14,0.09,0,0.73,0.09
PI410437,0.18,0.09,0.14,0.68,0
PI415314,0.23,0.09,0.05,0.64,0.09
PI415330,0.23,0.09,0.09,0.68,0.05
PI415331,0.23,0.18,0,0.59,0.09
PI415348,0.27,0.09,0.05,0.59,0.09
PI415349,0.27,0.05,0,0.77,0
PI415362,0.18,0.18,0.14,0.59,0
PI415363,0.18,0.18,0.14,0.59,0
PI415365,0.14,0.09,0.05,0.82,0.05
PI420454,0.18,0.05,0,0.77,0.05
PI420459,0.23,0.14,0.09,0.68,0
PI420462,0.23,0.09,0,0.73,0.05
PI420463,0.23,0.09,0.05,0.68,0.05
PI420482,0.18,0.18,0.05,0.64,0.05
PI420922,0.27,0.14,0,0.64,0.09
PI422225,0.09,0.18,0.09,0.59,0.14
PI430743,0.32,0.14,0,0.5,0.09
PI430744,0.18,0.14,0.05,0.64,0.05
PI430745,0.18,0.09,0.05,0.73,0.05
PI434871,0.18,0.09,0.09,0.64,0
PI467467,0.09,0.09,0,0.73,0.23
PI467684,0.18,0.18,0.05,0.59,0.09
PI467690,0,0.09,0.09,0.82,0.05
PI467691,0.18,0.23,0.05,0.55,0.05
PI467692,0.09,0.09,0.09,0.68,0.09
PI564602,0.27,0.14,0.09,0.55,0.05
PI564637,0.23,0.14,0.05,0.59,0.05
PI564643,0.14,0.05,0.09,0.68,0.09
PI564649,0.14,0.18,0.05,0.64,0.09
PI572573,0.14,0.09,0.09,0.64,0.09
PI584786,0.27,0.05,0.14,0.59,0
PI591876,0.18,0.09,0.05,0.77,0
PI636056,0.23,0.09,0.09,0.64,0.05
PI636060,0.23,0.09,0.14,0.68,0
PI639299,0.32,0.09,0,0.59,0.09
PI639300,0.32,0.09,0,0.59,0.09
,,,,,
CIho01604,0.14,0.18,0.14,0.55,0.14
CIho11709,0.09,0.23,0,0.55,0.18
CIho11812,0,0.14,0.14,0.68,0.14
CIho11849,0.05,0.23,0.14,0.64,0.09
CIho13141,0.05,0.14,0.05,0.68,0.14
CIho13737,0.05,0.18,0.18,0.64,0
CIho13742,0.05,0.14,0.18,0.5,0.27
CIho13743,0.05,0.14,0.14,0.73,0.09
CIho13745,0.09,0.09,0.18,0.68,0.09
CIho14124,0.05,0.09,0.18,0.64,0.18
CIho14880,0.09,0.14,0.18,0.64,0.09
CIho14881,0.09,0.05,0.14,0.55,0.27
CIho14883,0.09,0.14,0.18,0.64,0.05
CIho14978,0.18,0.14,0.09,0.5,0.09
PI060694,0.09,0.09,0.14,0.64,0.14
PI076280,0.18,0.09,0.09,0.59,0.09
PI151787,0.14,0.14,0.14,0.64,0.05
PI155303,0.05,0.14,0.27,0.55,0.09
PI186424,0,0.14,0.14,0.73,0.09
PI193799,0.05,0.23,0.14,0.64,0.05
PI194951,0.05,0.14,0.18,0.64,0.14
PI194952,0.09,0.09,0.18,0.5,0.27
PI273905,0.18,0.09,0.14,0.5,0.18
PI277393,0.14,0.14,0.09,0.59,0.14
PI283441,0.05,0.14,0.05,0.68,0.14
PI285124,0.18,0.18,0.09,0.59,0.05
PI286388,0.09,0.18,0.14,0.55,0.14
PI286389,0.14,0.09,0.18,0.5,0.18
PI295442,0.14,0.09,0.14,0.64,0.09
PI295581,0.05,0.14,0.18,0.64,0.09
PI296453,0.09,0.14,0.18,0.5,0.18
PI296457,0.09,0.14,0.09,0.59,0.23
PI296460,0.18,0.09,0.05,0.55,0.18
PI296472,0.18,0.14,0.18,0.55,0.09
PI298708,0.09,0.23,0.14,0.45,0.18
PI298738,0.09,0.14,0.09,0.73,0.09
PI316801,0.18,0.14,0.14,0.59,0
PI316874,0.14,0.05,0.09,0.59,0.18
PI319867,0.09,0.18,0.18,0.64,0.05
PI329000,0.05,0.18,0.09,0.55,0.18
PI331217,0.18,0.09,0.14,0.45,0.18
PI331878,0.18,0.14,0.09,0.5,0.14
PI356264,0.09,0.09,0.09,0.59,0.14
PI356333,0.05,0.14,0.18,0.59,0.14
PI356505,0,0.18,0.18,0.64,0.14
PI356580,0.14,0.09,0.14,0.59,0.14
PI356666,0.09,0.27,0.14,0.59,0
PI356711,0.14,0,0.09,0.59,0.23
PI356713,0.05,0.09,0.18,0.64,0.18
PI356715,0.18,0.05,0.14,0.59,0.14
PI382275,0.14,0.09,0.09,0.5,0.23
PI382296,0.18,0.18,0.09,0.55,0.09
PI382343,0.09,0.09,0.18,0.55,0.23
PI382437,0,0.18,0.05,0.64,0.18
PI382506,0.14,0.14,0.05,0.55,0.23
PI382798,0.05,0.05,0.18,0.59,0.27
PI382860,0.05,0.09,0.18,0.77,0
PI382911,0.14,0.14,0.09,0.64,0.09
PI382982,0.09,0.09,0.18,0.64,0.09
PI383031,0.09,0.14,0.14,0.68,0.09
PI383136,0.23,0.14,0.18,0.45,0.14
PI386406,0.14,0.14,0.14,0.5,0.14
PI386462,0.09,0.18,0.14,0.45,0.18
PI386524,0.18,0.18,0.14,0.59,0.05
PI386559,0.14,0.09,0.14,0.64,0.14
PI386601,0.05,0.23,0.14,0.64,0.09
PI386650,0.14,0.09,0.18,0.64,0.09
PI386723,0.05,0.18,0.18,0.64,0.05
PI386759,0.05,0.18,0.18,0.64,0.05
PI386838,0.14,0.14,0.09,0.59,0.18
PI386844,0.09,0.18,0.18,0.55,0.09
PI386940,0.09,0.05,0.14,0.73,0.09
PI387098,0.09,0.14,0.14,0.68,0.05
PI422226,0,0.14,0.05,0.77,0.14
PI422230,0.05,0.09,0.14,0.59,0.18
PI422232,0.14,0.09,0.14,0.55,0.23
PI429311,0.18,0.14,0.09,0.59,0.09
PI429312,0.09,0.14,0.09,0.68,0.09
PI429313,0.09,0.09,0.14,0.64,0.14
PI564647,0.18,0.09,0.14,0.41,0.27
PI564648,0.18,0.05,0.14,0.5,0.27
PI564662,0.27,0,0.23,0.41,0.23
PI564663,0.14,0,0.23,0.32,0.45
PI564666,0.23,0.05,0.14,0.41,0.32
PI606305,0.05,0.09,0.14,0.77,0.05
PI606311,0.18,0.14,0.09,0.55,0.09
