Accession.ID,Country,Latitude,Longitude,altitude
PI371298,Switzerland,46.486,7.652,1856
PI371320,Switzerland,46.952,8.886,2143
PI371323,Switzerland,46.886,9.069,2495
PI371327,Switzerland,46.869,9.436,2124
PI371335,Switzerland,46.853,9.053,2562
PI371338,Switzerland,46.853,9.053,2562
PI371377,Switzerland,46.97,10.353,2457
PI371384,Switzerland,47.153,10.603,1171
PI371390,Switzerland,47.003,10.436,2512
PI371392,Switzerland,47.003,10.437,2509
PI371441,Switzerland,46.853,9.787,2109
PI371477,Switzerland,46.837,9.62,1211
PI371490,Switzerland,46.954,9.304,2226
CIho10549,Syria,35.204,38.204,519
CIho10550,Syria,35.204,38.204,519
PI038484,Syria,36.405,37.365,544
PI038485,Syria,36.405,37.365,544
PI182659,Syria,35.204,38.204,519
PI182679,Syria,33.704,36.504,1086
PI182681,Syria,32.954,36.704,1000
PI182684,Syria,34.938,36.921,434
PI182687,Syria,35.338,36.955,434
PI182691,Syria,36.405,37.371,545
PI182693,Syria,36.705,41.205,334
PI182694,Syria,36.405,37.372,545
PI564603,Syria,33.338,36.722,595
PI564607,Syria,33.505,36.389,652
PI564613,Syria,36.839,40.839,383
PI564614,Syria,36.939,40.772,410
PI564616,Syria,36.906,41.006,396
PI564620,Syria,36.922,40.389,389
PI564621,Syria,35.222,37.072,496
PI564622,Syria,35.256,36.756,364
PI564637,Syria,35.256,36.439,176
PI564641,Syria,34.739,37.339,937
PI564643,Syria,34.439,37.539,544
PI564644,Syria,35.206,38.206,518
PI564678,Syria,36.04,39.59,344
PI296192,Tajikistan,39.207,71.207,1769
PI639344,Tajikistan,38.62,73.295,4986
PI639345,Tajikistan,38.621,73.296,5017
PI639346,Tajikistan,38.621,73.296,5017
PI639357,Tajikistan,38.621,73.296,5017
CIho15279,Tunisia,36.025,9.675,471
CIho15282,Tunisia,36.025,9.675,471
CIho15286,Tunisia,37.058,10.142,0
CIho15288,Tunisia,37.059,10.142,0
CIho15290,Tunisia,37.059,10.142,0
CIho15291,Tunisia,37.059,10.142,0
CIho15299,Tunisia,33.826,9.126,25
CIho15304,Tunisia,33.742,9.026,88
CIho15309,Tunisia,33.742,9.026,88
CIho15310,Tunisia,33.809,9.126,31
CIho15311,Tunisia,33.809,9.126,31
CIho15313,Tunisia,33.809,9.126,31
CIho15326,Tunisia,33.793,9.059,38
CIho15336,Tunisia,33.693,9.21,170
CIho15339,Tunisia,33.943,9.026,25
CIho15349,Tunisia,33.993,9.06,27
CIho15350,Tunisia,33.993,9.06,27
CIho15355,Tunisia,34.21,9.21,160
CIho15362,Tunisia,37.485,10.084,NA
CIho15364,Tunisia,34.227,8.46,100
CIho15365,Tunisia,34.194,8.377,69
PI055526,Tunisia,34.211,9.211,161
CIho06294,Turkey,38.561,38.511,1123
PI094886,Turkey,40.578,50.095,-29
PI117347,Turkey,38.083,32.696,1003
PI167271,Turkey,37.212,35.512,266
PI168328,Turkey,39.795,27.229,235
PI168367,Turkey,39.312,33.295,882
PI173518,Turkey,41.829,35.829,0
PI173577,Turkey,38.579,34.229,1268
PI178283,Turkey,38.113,34.779,1349
PI178285,Turkey,37.029,35.963,137
PI178332,Turkey,41.363,28.013,226
PI178594,Turkey,38.563,38.53,1131
PI178609,Turkey,40.866,36.046,1194
PI182373,Turkey,40.496,40.396,2264
PI182726,Turkey,40.147,44.247,855
PI264251,Turkey,40.133,33.068,1019
PI264870,Turkey,39.247,39.73,2003
PI319867,Turkey,39.273,35.125,1251
PI328171,Turkey,41.447,35.697,446
PI328200,Turkey,39.273,35.125,1251
PI328207,Turkey,39.273,35.126,1258
PI328208,Turkey,39.273,35.126,1258
PI328244,Turkey,39.273,35.126,1258
PI328253,Turkey,39.273,35.126,1258
PI328279,Turkey,39.273,35.126,1258
PI328299,Turkey,38.065,27.465,14
PI328327,Turkey,39.864,28.101,234
PI328336,Turkey,39.274,35.126,1259
PI328907,Turkey,39.274,35.126,1259
PI342031,Turkey,38.565,38.532,1162
PI342136,Turkey,38.972,30.758,1443
PI342139,Turkey,38.889,29.621,1261
PI342198,Turkey,38.889,29.621,1261
PI342219,Turkey,39.639,30.199,886
PI342270,Turkey,39.65,30.2,886
PI342283,Turkey,39.66,30.201,886
PI342329,Turkey,39.67,30.202,955
PI342331,Turkey,39.68,30.203,976
PI024497,Turkmenistan,37.833,62.383,219
PI029004,Turkmenistan,37.847,62.05,218
PI327830,Turkmenistan,40.417,60.237,150
PI327849,Turkmenistan,40.227,60.227,157
PI327854,Turkmenistan,40.247,60.247,161
PI327857,Turkmenistan,38.468,59.973,126
PI327858,Turkmenistan,40.278,60.328,157
PI327860,Turkmenistan,40.298,60.348,154
PI327868,Turkmenistan,38.468,59.968,124
PI327869,Turkmenistan,40.308,60.358,150
PI327870,Turkmenistan,40.328,60.368,145
PI327882,Turkmenistan,40.338,60.378,147
PI094834,Ukraine,50.21,36.471,161
PI094919,Ukraine,50.2,36.472,178
PI327680,Ukraine,46.697,30.952,12
PI327719,Ukraine,48.67,35.203,59
PI327724,Ukraine,49.776,25.825,345
PI327836,Ukraine,48.67,35.203,59
PI467657,United Kingdom,52.385,-0.479,72
CIho02266,Uzbekistan,39.918,67.202,1374
PI035051,Uzbekistan,40.735,71.885,424
PI064022,Uzbekistan,41.517,69.468,584
PI084311,Uzbekistan,41.852,60.402,90
PI084312,Uzbekistan,43.419,59.919,52
PI084313,Uzbekistan,43.419,59.919,52
PI084314,Uzbekistan,42.103,60.653,294
PI327833,Uzbekistan,41.961,64.102,124
PI327861,Uzbekistan,41.961,64.102,124
PI327862,Uzbekistan,39.907,67.213,1326
PI327863,Uzbekistan,39.908,67.213,1305
PI327864,Uzbekistan,40.028,64.682,250
PI155303,Yemen,15.755,47.755,710
PI244041,Yemen,14.222,44.439,2753
PI296185,Yemen,15.755,47.755,710
PI422225,Yemen,15.605,44.455,2170
PI422226,Yemen,13.289,44.156,1924
PI422230,Yemen,15.756,47.756,706
PI422232,Yemen,15.606,44.456,2180
PI422233,Yemen,15.606,44.456,2180
PI429311,Yemen,13.823,44.289,1907
PI429312,Yemen,13.823,44.289,1907
PI429313,Yemen,15.773,44.156,2808
PI429314,Yemen,15.673,44.59,2309
PI430743,Yemen,17.323,43.84,1784
PI430744,Yemen,16.257,44.44,1194
PI430745,Yemen,15.907,44.223,2230
